Valery,Putin
Alexei,Medvedev
Aleksandr,Kasyanov
Ivan,Fradkov
Wassili,Zubkov
Ilya,Yeltsin
Viktor,Ivanov
Oleg,Stepashin
Mikhail,Lukashenko
Anna,Tikhanov
Ivana,Vorontsov
Nikolai,Kravtsov
Vera,Pankratov
Alina,Grin
Nikita,Plotnikov
Vladimir,Brin
Dmitry,Sokolov
Vladislav,Kuznetsov
Boris,Lebedev
Olga,Volkov
Oksana,Morozov
Maxim,Sidorov
Maksim,Gusev
Svetlana,Baranov
Aleksandra,Belinsky
Jelena,Abramov
Evgeniy,Abramovich
Gleb,Golubev
Verushka,Nikitin
Tatjana,Gargarin
Anya,Dostoevsky
Fyodor,Smirnov
Yuri,Uranov
Viktoria,Razkolnikov
Aleksei,Sidorova
Nina,Gorbachev
Alina,Pavlov
Nikita,Uranova
Alisa,Putina
Polina,Grigorevich
Anatoly,Pavlova
Rada,Ivanova
Stanislav,Smirnova
Andrei,Kuznetsova
Yakov,Petrova
Maria,Petrov
Ihor,Popov
Elena,Popova
Aleks,Morozova
Alyona,Sokolova
Irina,Magomedov
Karina,Magomedova
Yulia,Shevchenko
Yelizaveta,Moranov
Adrik,Moranova
Alyosha,Vokov
Arseny,Trotzky
Daniil,Tolstoi
Dominik,Makarov
Grigory,Makarova
Kiril,Aliev
Leonid,Markov
Lev,Nikolaeva
Luka,Egorova
Marat,Egorov
Oleg,Nikolaev
Pavel,Alieva
Pyotr,Gordeev
Rudik,Orlova
Slavik,Orlov
Vasily,Frolov
Veniamin,Frolova
Vyacheslav,Kovalenko
Yegor,Andreev
Yevgeny,Platonov
Vadim,Antonov
Valentin,Antonova
Ulyana,Lavrov
Rodion,Chevchenko
Artem,Borisov
Wadim,Mishustin
Andrey,Zinichev
Aleksey,Daniilovich
Karenina,Karenina
Georgy,Khrushchev
Urvan,Kalinov
Simeon,Malenkov
Gideon,Brezhnev
Zavid,Bulganin
Arkadi,Melnikov
Konstantin,Matviyenko
Valentina,Torshin
Ljudmila,Mironov
Sasha,Yakovlev
Natalia,Cherkesov
Natasha,Poltavchenko
Daria,Klebanov
Vlada,Barkanov
Ksenia,Beglov
Valeriya,Kosigin
